//------------------------------------------------------------------------------
//--  Generated by TunerStudio 
//--  Date: 12-8-2022
//--  Time: 16:18
//--  This file merely records what was sent to your Controller,        
//--  and may be deleted at any time.                                                    
//--  Selected type: Air Temperature Sensor 
//------------------------------------------------------------------------------

//-- generated using refTable Generator:thermGenerator
//-- Table Identifier:001//--    Generated by ThermTableGenerator using user input values. 
//--    Bias Resistor value: 2490.0 Ohms
//--    Temperature1: -40.0(C), 	Resistance 1: 45313 Ohms 
//--    Temperature2: 30(C), 	Resistance 2: 1707 Ohms 
//--    Temperature3: 100(C), 	Resistance 3: 187 Ohms 
//-- 

//----------------------------------------------------------//
ADC 	Value 	MSVal 	volts
0	70.00	700 	0.000
1	70.00	700 	0.005
2	70.00	700 	0.010
3	70.00	700 	0.015
4	70.00	700 	0.020
5	70.00	700 	0.024
6	70.00	700 	0.029
7	70.00	700 	0.034
8	70.00	700 	0.039
9	70.00	700 	0.044
10	70.00	700 	0.049
11	70.00	700 	0.054
12	70.00	700 	0.059
13	70.00	700 	0.063
14	349.02	3490 	0.068
15	342.33	3423 	0.073
16	336.16	3362 	0.078
17	330.43	3304 	0.083
18	325.10	3251 	0.088
19	320.12	3201 	0.093
20	315.44	3154 	0.098
21	311.03	3110 	0.103
22	306.86	3069 	0.107
23	302.92	3029 	0.112
24	299.18	2992 	0.117
25	295.61	2956 	0.122
26	292.21	2922 	0.127
27	288.97	2890 	0.132
28	285.86	2859 	0.137
29	282.88	2829 	0.142
30	280.03	2800 	0.146
31	277.28	2773 	0.151
32	274.63	2746 	0.156
33	272.08	2721 	0.161
34	269.62	2696 	0.166
35	267.24	2672 	0.171
36	264.94	2649 	0.176
37	262.72	2627 	0.181
38	260.56	2606 	0.186
39	258.47	2585 	0.190
40	256.44	2564 	0.195
41	254.47	2545 	0.200
42	252.55	2526 	0.205
43	250.69	2507 	0.210
44	248.87	2489 	0.215
45	247.10	2471 	0.220
46	245.38	2454 	0.225
47	243.70	2437 	0.229
48	242.06	2421 	0.234
49	240.46	2405 	0.239
50	238.90	2389 	0.244
51	237.37	2374 	0.249
52	235.88	2359 	0.254
53	234.42	2344 	0.259
54	232.99	2330 	0.264
55	231.59	2316 	0.269
56	230.22	2302 	0.273
57	228.88	2289 	0.278
58	227.56	2276 	0.283
59	226.27	2263 	0.288
60	225.00	2250 	0.293
61	223.76	2238 	0.298
62	222.54	2225 	0.303
63	221.34	2213 	0.308
64	220.17	2202 	0.313
65	219.01	2190 	0.317
66	217.88	2179 	0.322
67	216.76	2168 	0.327
68	215.66	2157 	0.332
69	214.58	2146 	0.337
70	213.52	2135 	0.342
71	212.48	2125 	0.347
72	211.45	2114 	0.352
73	210.43	2104 	0.356
74	209.44	2094 	0.361
75	208.45	2085 	0.366
76	207.49	2075 	0.371
77	206.53	2065 	0.376
78	205.59	2056 	0.381
79	204.67	2047 	0.386
80	203.75	2038 	0.391
81	202.85	2029 	0.396
82	201.96	2020 	0.400
83	201.09	2011 	0.405
84	200.22	2002 	0.410
85	199.37	1994 	0.415
86	198.52	1985 	0.420
87	197.69	1977 	0.425
88	196.87	1969 	0.430
89	196.06	1961 	0.435
90	195.26	1953 	0.439
91	194.47	1945 	0.444
92	193.68	1937 	0.449
93	192.91	1929 	0.454
94	192.15	1921 	0.459
95	191.39	1914 	0.464
96	190.65	1906 	0.469
97	189.91	1899 	0.474
98	189.18	1892 	0.479
99	188.46	1885 	0.483
100	187.74	1877 	0.488
101	187.04	1870 	0.493
102	186.34	1863 	0.498
103	185.65	1856 	0.503
104	184.96	1850 	0.508
105	184.29	1843 	0.513
106	183.62	1836 	0.518
107	182.95	1830 	0.522
108	182.30	1823 	0.527
109	181.65	1816 	0.532
110	181.00	1810 	0.537
111	180.37	1804 	0.542
112	179.74	1797 	0.547
113	179.11	1791 	0.552
114	178.49	1785 	0.557
115	177.88	1779 	0.562
116	177.27	1773 	0.566
117	176.67	1767 	0.571
118	176.07	1761 	0.576
119	175.48	1755 	0.581
120	174.89	1749 	0.586
121	174.31	1743 	0.591
122	173.74	1737 	0.596
123	173.17	1732 	0.601
124	172.60	1726 	0.605
125	172.04	1720 	0.610
126	171.48	1715 	0.615
127	170.93	1709 	0.620
128	170.38	1704 	0.625
129	169.84	1698 	0.630
130	169.30	1693 	0.635
131	168.77	1688 	0.640
132	168.24	1682 	0.645
133	167.71	1677 	0.649
134	167.19	1672 	0.654
135	166.68	1667 	0.659
136	166.16	1662 	0.664
137	165.65	1657 	0.669
138	165.15	1651 	0.674
139	164.65	1646 	0.679
140	164.15	1641 	0.684
141	163.65	1637 	0.688
142	163.16	1632 	0.693
143	162.68	1627 	0.698
144	162.19	1622 	0.703
145	161.71	1617 	0.708
146	161.24	1612 	0.713
147	160.76	1608 	0.718
148	160.29	1603 	0.723
149	159.82	1598 	0.728
150	159.36	1594 	0.732
151	158.90	1589 	0.737
152	158.44	1584 	0.742
153	157.99	1580 	0.747
154	157.54	1575 	0.752
155	157.09	1571 	0.757
156	156.64	1566 	0.762
157	156.20	1562 	0.767
158	155.76	1558 	0.771
159	155.33	1553 	0.776
160	154.89	1549 	0.781
161	154.46	1545 	0.786
162	154.03	1540 	0.791
163	153.61	1536 	0.796
164	153.18	1532 	0.801
165	152.76	1528 	0.806
166	152.34	1523 	0.811
167	151.93	1519 	0.815
168	151.51	1515 	0.820
